MSOA_code,LowFruit ,LowFruitLCI,LowFruitUCI,LowVeg,LowVegLCI,LowVegUCI,LowFV,LowFVLCI,LowFVUCI,HighSSB,HighSSBLCI,HighSSBUCI
E02003406,56.85598292,51.25,62.81,18.92665011,12.35,28.77,7.816505102,3.57,16.59,12.1204675,5.69,24.02
E02003407,60.86104333,55.36,66.58,20.8705394,13.73,31.34,8.85274299,4.07,18.55,13.2290239,6.25,25.9
E02003408,55.32536521,49.69,61.34,16.71111909,10.8,25.77,6.58589055,2.99,14.19,12.687308,5.98,24.98
E02003409,56.6258216,51.01,62.59,18.13961262,11.8,27.72,7.351481312,3.35,15.69,12.5579424,5.91,24.76
E02003410,56.7778168,51.17,62.73,17.65831888,11.46,27.06,7.120847695,3.24,15.24,13.1107036,6.19,25.7
E02003411,58.34735006,52.77,64.22,18.90876003,12.34,28.75,7.830131385,3.58,16.61,13.0089852,6.14,25.53
E02003412,54.5282258,48.89,60.58,16.76062269,10.84,25.84,6.588617616,2.99,14.19,12.2259066,5.74,24.2
E02003413,57.1067838,51.5,63.05,17.68474358,11.48,27.1,7.107583201,3.24,15.21,13.2407252,6.26,25.91
E02003414,56.9504017,51.34,62.9,17.64260727,11.45,27.04,7.104056793,3.23,15.21,13.0162376,6.14,25.54
E02003415,59.29995284,53.75,65.12,18.75420503,12.23,28.54,7.713438337,3.52,16.39,14.177944,6.74,27.47
E02003416,53.91337613,48.27,59.98,16.05986798,10.35,24.87,6.216825681,2.82,13.45,12.0336285,5.64,23.87
E02003417,55.46943492,49.84,61.48,16.70995095,10.8,25.77,6.575399318,2.98,14.17,12.3571794,5.81,24.42
E02003418,57.22412129,51.62,63.16,18.35525584,11.95,28.01,7.486079681,3.42,15.95,12.2771204,5.77,24.29
E02003419,57.96158504,52.38,63.86,18.86396836,12.31,28.69,7.802549975,3.57,16.56,12.4236356,5.84,24.54
E02003420,57.24456819,51.64,63.18,17.83402963,11.58,27.3,7.210838907,3.29,15.42,13.2165015,6.24,25.87
E02003421,49.38500379,43.77,55.56,14.28170925,9.14,22.38,5.202792572,2.34,11.4,9.5884631,4.43,19.55
E02003422,49.07380592,43.46,55.25,14.62352969,9.37,22.86,5.40649222,2.44,11.82,8.2884422,3.8,17.16
E02003423,56.75747719,51.15,62.71,18.76676532,12.24,28.56,7.746104073,3.54,16.45,11.5159871,5.39,22.98
E02003424,49.43712076,43.82,55.61,14.24859441,9.12,22.33,5.163859683,2.32,11.32,9.2088728,4.25,18.86
E02003425,57.01272539,51.41,62.96,18.0958385,11.77,27.66,7.259686018,3.31,15.51,12.7481974,6.01,25.09
E02003426,50.14516307,44.52,56.31,14.65173795,9.39,22.9,5.425744038,2.45,11.86,9.668816,4.47,19.7
E02003427,56.03583171,50.41,62.02,17.7292209,11.51,27.16,7.137449387,3.25,15.27,11.8971415,5.58,23.64
E02003428,52.06023808,46.42,58.19,15.93028359,10.26,24.69,6.150647122,2.78,13.32,10.3584275,4.81,20.94
E02003429,49.76218725,44.14,55.93,14.65260083,9.39,22.9,5.40155268,2.44,11.81,9.6268676,4.45,19.62
E02003430,57.26220801,51.66,63.19,18.50462443,12.05,28.21,7.531919035,3.44,16.04,13.591683,6.44,26.5
E02003431,52.69686749,47.05,58.81,16.26337045,10.49,25.15,6.309879072,2.86,13.64,10.3916295,4.83,21
E02003432,55.59497446,49.97,61.6,17.4262528,11.3,26.75,6.908737611,3.14,14.82,12.227481,5.74,24.2
E02003433,52.50849792,46.86,58.62,16.07281366,10.36,24.89,6.168510047,2.79,13.36,10.4343199,4.85,21.07
E02003434,56.63472277,51.02,62.6,18.91330512,12.34,28.75,7.74724019,3.54,16.45,11.1121925,5.18,22.27
E02003435,51.39227086,45.75,57.53,15.08975259,9.69,23.52,5.699702728,2.57,12.41,9.8773626,4.57,20.08
E02003436,49.54818937,43.93,55.72,14.70935586,9.43,22.98,5.415748472,2.44,11.84,9.4749145,4.38,19.35
E02003437,51.5724024,45.93,57.71,15.96352429,10.29,24.74,6.179137677,2.8,13.38,9.4353966,4.36,19.28
E02003438,50.4938744,44.86,56.65,15.31032001,9.84,23.83,5.795065943,2.62,12.61,9.1937618,4.24,18.83
E02003439,49.77767609,44.15,55.95,14.87260431,9.54,23.21,5.550945626,2.5,12.11,8.5582609,3.93,17.66
E02003440,49.89421226,44.27,56.06,14.36793876,9.2,22.5,5.279369682,2.38,11.56,9.336037,4.31,19.1
E02003441,48.43494827,42.83,54.62,14.05366385,8.98,22.05,5.065113805,2.28,11.12,9.1234593,4.21,18.71
E02003442,49.9196849,44.29,56.09,14.02115712,8.96,22.01,5.076226279,2.28,11.14,10.8373008,5.05,21.79
E02003443,53.92335616,48.28,59.99,17.17531071,11.13,26.41,6.839040644,3.11,14.69,10.6224639,4.94,21.41
E02003444,50.98943088,45.35,57.14,14.68437601,9.41,22.95,5.435935355,2.45,11.88,11.027572,5.14,22.12
E02003445,49.21860851,43.6,55.4,13.93832262,8.91,21.89,5.01472118,2.26,11.02,10.3666142,4.81,20.95
E02003446,52.37534048,46.73,58.49,15.74897085,10.14,24.44,5.9616244,2.7,12.94,13.1079742,6.19,25.69
E02003447,53.04126557,47.4,59.14,15.99311801,10.31,24.78,6.189434633,2.8,13.4,11.132849,5.19,22.31
E02003448,49.03674103,43.42,55.22,13.99980935,8.95,21.98,5.06074104,2.28,11.11,9.6275068,4.45,19.63
E02003449,51.27918369,45.64,57.42,14.25669798,9.12,22.34,5.233411287,2.36,11.47,11.7350865,5.5,23.36
E02003450,53.01932883,47.37,59.12,15.79355762,10.17,24.5,6.065194656,2.74,13.15,11.4616638,5.36,22.88
E02003451,54.63224094,48.99,60.68,17.80890873,11.57,27.27,7.101499701,3.23,15.2,10.3577195,4.81,20.94
E02003452,49.49903387,43.88,55.67,13.8313435,8.83,21.74,4.999878983,2.25,10.99,9.8200103,4.55,19.97
E02003453,47.3817439,41.8,53.57,13.01447947,8.28,20.56,4.527006064,2.03,10.01,8.9403879,4.12,18.37
E02003454,49.45630067,43.84,55.63,14.2010133,9.08,22.26,5.171350836,2.33,11.34,9.365622,4.32,19.15
E02003455,50.80238054,45.17,56.96,14.7066751,9.43,22.98,5.466281416,2.47,11.94,10.174347,4.72,20.61
E02003456,53.42812231,47.78,59.51,16.369075,10.57,25.3,6.402658831,2.9,13.82,11.3358244,5.3,22.66
E02003457,47.55691557,41.97,53.75,13.37769719,8.53,21.09,4.710843707,2.12,10.39,8.8684041,4.08,18.24
E02003458,47.78978053,42.2,53.98,13.56434152,8.65,21.36,4.796313197,2.15,10.57,8.9831428,4.14,18.45
E02003459,49.24905934,43.63,55.43,14.68929862,9.42,22.95,5.426699784,2.45,11.86,8.5460767,3.93,17.64
E02003460,50.83966299,45.2,56.99,15.08305149,9.68,23.51,5.677871927,2.56,12.37,9.7481187,4.51,19.84
E02003461,49.78080933,44.16,55.95,14.88939834,9.55,23.24,5.512357033,2.49,12.03,9.667797,4.47,19.7
E02003462,50.67297588,45.04,56.83,14.90401099,9.56,23.26,5.532306393,2.5,12.08,10.6555522,4.96,21.47
E02003463,52.06915608,46.43,58.19,16.15942046,10.42,25.01,6.241109019,2.83,13.5,10.2365426,4.75,20.72
E02003464,58.10209265,52.52,63.99,19.33737208,12.64,29.32,8.000140026,3.66,16.94,12.6944758,5.98,25
E02003465,50.30422595,44.67,56.47,15.1244578,9.71,23.57,5.627714831,2.54,12.27,9.7262751,4.5,19.8
